,,
,FF23,
,AUC,PR AUC
crosshash,0.98293,0.98571
DCL,0.98608,0.98843
DCL+jpeg,0.98531,0.98858
DCL+Hash,0.97725,0.97995
,,
,FF23-jpeg,
,AUC,PR AUC
crosshash,0.83943,0.859
DCL,0.83832,0.85707
DCL+jpeg,0.92658,0.93578
DCL+Hash,0.85474,0.86967
,,
,FF23-blur,
,AUC,PR AUC
crosshash,0.67863,0.66683
DCL,0.6954,0.69901
DCL+jpeg,0.74976,0.75947
DCL+Hash,0.70012,0.70508
,,
,FF23-sharpness,
,AUC,PR AUC
crosshash,0.94725,0.95884
DCL,0.96151,0.96701
DCL+jpeg,0.95253,0.9618
DCL+Hash,0.9467,0.95881
,,
,FF23-osn,
,AUC,PR AUC
crosshash,0.90203,0.91922
DCL,0.90435,0.92296
DCL+jpeg,0.92266,0.93599
DCL+Hash,0.91286,0.92779
,,
,FF23-osn30,
,AUC,PR AUC
crosshash,0.88142,0.90308
DCL,0.88179,0.905
DCL+jpeg,0.91549,0.93074
DCL+Hash,0.8925,0.9121
,,
,FF23-osn50,
,AUC,PR AUC
crosshash,0.89421,0.9138
DCL,0.89558,0.91604
DCL+jpeg,0.91923,0.9339
DCL+Hash,0.90515,0.92256
,,
,Celeb,
,AUC,PR AUC
crosshash,0.76305,0.72526
DCL,0.78036,0.76761
DCL+jpeg,0.79372,0.78858
DCL+Hash,0.78902,0.76916
,,
,Celeb-jpeg,
,AUC,PR AUC
crosshash,0.62329,0.58244
DCL,0.62987,0.58
DCL+jpeg,0.68062,0.6482
DCL+Hash,0.62362,0.58593
,,
,Celeb-osn30,
,AUC,PR AUC
crosshash,0.66185,0.62212
DCL,0.69815,0.65456
DCL+jpeg,0.72527,0.67477
DCL+Hash,0.66744,0.63015
,,
,Celeb-osn50,
,AUC,PR AUC
crosshash,0.66812,0.62887
DCL,0.70287,0.66222
DCL+jpeg,0.72945,0.68106
DCL+Hash,0.67398,0.63784
,,
,DFD,
,AUC,PR AUC
crosshash,0.77697,0.76576
DCL,0.83348,0.8087
DCL+jpeg,0.79753,0.75556
DCL+Hash,0.76066,0.7279
,DFDC
,AUC,PR AUC
crosshash,0.83043,0.85332
DCL,0.83832,0.85707
DCL+jpeg,0.92658,0.93578
DCL+Hash,0.85474,0.86967
